,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,633984170,False,0.114439859986305,10400,7170,5550,3.15229640028873e-05,4.76121022074949e-05,0.0022966074757278,48.2357902526855,1.47169920898437e-05,147706228,190,274266944.0,252328096.0,579498.5625,12013.87109375,0.3091019176
1,3,633984966,False,0.528240501880646,6400,7090,5890,0.00258909175601681,0.00140083018411982,0.325929980212965,232.669158551688,0.00120875825286255,147706228,157,40235522528.0,704397608.0,229584298.4375,986741.430908203,0.8628870698
2,3,633984996,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147706228,973,47655829504.0,271429184.0,0.0,0.0,0.3325007504
3,2,633983205,False,0.159292951226234,6200,870,8450,5.11991785770221e-05,0.000260838016401976,0.0484431982040405,185.721389770508,2.39031426757812e-05,147706228,182305693,13843898368.0,74808000.0,3623938.75,19512.76953125,0.0916398
4,2,633983333,True,1.0,10480,5540,6250,0.987013269213732,0.474511313992176,1174.17500097493,2474.4931603344,0.460802685758192,147706228,1065,1165940771859.19,792742863.383004,930818852385.607,376165457.76179,0.97111000764418
5,3,633984477,False,0.710119247436523,8820,4660,6740,0.0194942623897976,0.0599165291648925,23.2244849610963,387.613990409585,0.00910120334375,147706228,246,14059848192.0,123998400.0,2879798976.0,7429553.75,0.15189804
6,1,633983682,False,0.295797735452652,11430,4030,5060,0.000209493747674687,0.00145875010639429,0.559971630573273,383.870819091797,9.78054546875e-05,147706228,912,10143272960.0,54732600.0,30648702.0,79841.1875,0.067047435
7,3,633984656,False,0.272719383239746,12980,5110,6760,5.17181047873965e-05,0.000981561493519307,0.107153948049878,109.166821189864,2.41454115478516e-05,147706228,514,344361168.0,20080800.0,2151737.0,19710.5400390625,0.02459898
8,3,633984669,False,0.52972275018692,6100,5820,7700,0.003778677946875,0.00121497552110713,0.568774759723945,468.136805921536,0.0017641352967041,147706228,536,207539408896.0,1185299968.0,674168704.5,1440110.44628906,1.4519924608
9,2,633983017,False,0.11679070442915,5090,4550,9170,1.68103770136964e-05,0.000361861486453563,0.11449471861124,316.404846191406,7.84818919677734e-06,147706228,662,2013245696.0,17704800.0,2027106.125,6406.68505859375,0.02168838
10,3,633984830,False,0.352926731109619,7270,1240,6690,0.00399370043949648,0.000271773850244165,0.0464818529681905,171.031366433638,0.00186452193302291,147706228,768,276970334080.0,5600460528.0,260319782.81665,1522058.72083503,6.8605641468
11,2,633983010,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147706228,654,78405312512.0,246657600.0,0.0,0.0,0.30215556
12,1,633984286,False,0.564976274967194,9190,2620,4270,0.0290879237889053,0.0117882490158081,7.00967073440552,594.632080078125,0.013580155225,147706228,17,221547888640.0,940414528.0,6591996416.0,11085841.0,1.1520077968
13,2,633984196,False,0.430885314941406,11430,4190,7030,0.000702405472756131,0.00698661850765347,1.68974494934082,241.854461669922,0.0003279290546875,147706228,589508455,2191219200.0,38315700.0,64743760.0,267697.1875,0.0469367325
14,3,633984935,False,0.122298084199429,3480,3530,6570,2.77492752651525e-05,6.29350854636195e-05,0.0147199400383716,233.890840537282,1.29551860839844e-05,147706228,910,22348149760.0,168040800.0,2473550.5,10575.662109375,0.20584998
15,1,633984246,False,0.615413069725037,10110,4710,3440,0.00305833888272316,0.00236744084395468,0.294301152229309,124.31192779541,0.0014278336625,147706228,78,8722980864.0,492336896.0,144895312.0,1165578.5,0.6031126976
16,1,633983809,False,0.22632247209549,7650,4410,4580,4.1951180512739e-05,0.000359521742211655,0.129914849996567,361.354644775391,1.95855691650391e-05,147706228,725,5341768704.0,44470800.0,5777417.5,15988.2197265625,0.05447673
