,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,3,630003228,False,0.598546802997589,7050,3160,7220,0.0337725958862697,0.00236689071630946,1.63946065972493,692.664282481631,0.00563326202575688,174781014,239,601668493312.0,1942878568.0,3185272978.8587,4598581.24551582,2.3800262458
1,1,630002098,False,0.0132518354803324,9850,1960,1810,2.46533211680548e-06,3.84938130082446e-06,0.000225569950998761,58.5990104675293,4.11216888427734e-07,174781014,750,14896125952.0,87205504.0,19670.94140625,335.687255859375,0.1068267424
2,3,630003320,False,0.261066555976868,6320,5580,9020,0.00189204635125205,0.000371944349444431,0.229264372716419,616.394288712462,0.000315592941015625,174781014,303,198643802112.0,692649024.0,158799744.0,257626.890625,0.8484950544
3,3,630003018,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,174781014,115,1557043456.0,6532200.0,0.0,0.0,0.008001945
4,3,630003147,False,0.0226611066609621,8580,4550,5620,1.90175107180392e-05,5.16887666135079e-05,0.00551527168966178,106.701553374277,3.17211686401367e-06,174781014,197,4580366336.0,50097600.0,276301.875,2589.48315429688,0.06136956
5,1,630001262,False,0.33586385846138,8460,5740,5630,0.000102194424876885,0.000451620639069006,0.144668027758598,320.330871582031,1.7046008984375e-05,174781014,607344838,7749892096.0,30811500.0,4457439.0,13915.109375,0.0377440875
6,3,630003546,False,0.580083250999451,7680,480,7410,0.0858541186390507,0.0163887938011492,7.40623056661679,451.908215850362,0.0143204492752899,174781014,394,155410874752.0,713302200.0,5282880556.875,11690162.6737061,0.873795195
7,3,630004033,False,0.453222781419754,4800,6580,2720,0.0155024966493055,0.000425510980130522,0.0558503196869047,131.254708561864,0.00258581324257812,174781014,840,344559777536.0,4960783744.0,277061358.0,2110867.953125,6.0769600864
8,1,630002763,False,0.197118490934372,6610,2810,4390,9.09285882134174e-05,1.27451281514881e-05,0.00507050571039972,397.838738860205,1.51668697533131e-05,174781014,239,296704644608.0,971439284.0,4925688.43682861,12381.1181659698,1.1900131229
9,2,630001191,False,0.00292685511521995,4960,4130,6620,6.42336592495435e-08,1.03278470220403e-08,3.80554752155149e-06,368.474426269531,1.07141611099243e-08,174781014,258,180264206336.0,846861312.0,3222.77099609375,8.74625396728516,1.0374051072
