,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,631723693,False,0.455765277147293,9760,4470,5340,0.00423309840938953,0.0355563387274742,15.8320293426514,445.266021728516,0.00073560423125,272830456,757,3741333248.0,16888500.0,267379232.0,600493.25,0.0206884125
1,1,631723742,False,0.484368652105331,9620,5330,5620,0.00468045532169074,0.00245233625173569,0.728344678878784,297.000335693359,0.0008133434203125,272830456,679,32919339008.0,270743392.0,197194512.0,663953.8125,0.3316606552
2,3,631725093,False,0.101190567016602,9050,4210,5800,5.19438607926555e-05,0.00118143068637453,0.174943704780944,148.077840535695,9.02651440887451e-06,272830456,1060,358867712.0,6237000.0,1091123.88671875,7368.58319091797,0.007640325
3,1,631724032,False,0.325949192047119,11730,7060,3870,0.00177607257861926,0.000982711027608085,0.0809769201218178,82.401558389871,0.000308635986572266,272830456,235,13021799008.0,256380296.0,20760886.75,251947.744140625,0.3140658626
4,3,631725147,True,1.0,6330,3400,5980,0.702085353499783,0.907613291641951,9020.88111056479,9939.12406708504,0.122004476812428,272830456,1129,999492871230.25,109733398.786255,989891944309.0,99595491.2754517,0.134423413513162
5,3,631724361,False,0.550091087818146,11090,7190,5700,0.00893642849240326,0.0211449044745349,3.12295980491255,147.693256721664,0.0015529227,272830456,230,1500313024.0,59952600.0,187229560.0,1267692.0,0.073441935
6,3,631724775,False,0.265514642000198,5090,4750,9130,0.000426114554872593,0.00170708486915448,0.958880542811836,561.706427218683,7.40478106689453e-05,272830456,662,8423745280.0,35409600.0,33953576.46875,60447.1923828125,0.04337676
7,2,631723124,False,0.345388621091843,4420,2130,5750,0.0147360094494999,0.00768524967133999,6.05943250656128,788.449645996094,0.00256074153125,272830456,935,89451315200.0,272001728.0,1648176128.0,2090401.25,0.3332021168
8,3,631724769,False,0.999347925186157,5740,640,6310,0.0658680715104226,0.00447447027899778,4.12787986962866,922.540460041506,0.011446186084375,272830456,656,609292087040.0,2088252864.0,8620056960.0,9343825.375,2.5581097584
9,1,631723832,False,0.153165310621262,3710,3390,5460,0.000126810655603302,0.000283602101262659,0.207242920994759,730.75244140625,2.20364484375e-05,272830456,556,20660736000.0,63430200.0,13145460.0,17988.9375,0.077701995
10,1,631724163,False,0.901162981987,2990,3390,5690,0.00288684487888205,0.00107783578522467,1.50778994146562,1398.90506711217,0.000501659801519775,272830456,44,130266899328.0,379944896.0,572877092.5,409518.205322266,0.4654324976
11,3,631724394,False,0.150543317198753,4830,6580,5770,0.000275937933243816,0.000240048402107802,0.0407583987671219,169.792418567394,4.79509549804687e-05,272830456,272,24730928128.0,163065600.0,6646292.75,39143.63671875,0.19975536
12,2,631723347,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,272830456,549009215,21709881344.0,144636304.0,0.0,0.0,0.1771794724
13,3,631724894,False,0.53642475605011,5720,3230,6070,0.00216818204521702,0.000226179325061268,0.0865612152086144,382.710555817454,0.000376774582666016,272830456,826,254543273984.0,1359855008.0,117710702.0,307571.087890625,1.6658223848
14,1,631723768,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,272830456,643,29098545152.0,66125700.0,0.0,0.0,0.0810039825
15,3,631724696,False,0.704173743724823,7780,4280,6160,0.0388639702540254,0.0365446140368364,18.532578160248,507.122010963569,0.00675356398486328,272830456,595,21171173888.0,150859808.0,2795821183.0,5513113.45703125,0.1848032648
