,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,3,633336029,True,1.0,9050,3890,8800,0.68258151690433,0.999476100083675,5821.4352161238,5824.48666419981,0.067763879925,112672268,726,322384773120.0,55346449.0,322195767296.0,55317453.0,0.067799400025
1,1,633332489,False,0.36217987537384,6890,3280,3360,0.00374861617749222,4.8692411153353e-05,0.00518197709914277,106.422684282825,0.000372147165203857,112672268,983,65712676277.0,6239033908.0,32330530.8320312,303793.604248047,7.6428165373
2,1,633333975,False,0.0796071738004684,1920,2620,4030,0.000116527549008492,2.15486509326592e-05,0.000603833290891243,28.0218605228818,1.15683748291016e-05,112672268,184,24872220972.0,438244200.0,264626.4375,9443.5712890625,0.536849145
3,2,633331558,False,0.0666215941309929,11000,5940,8870,0.000145889506729699,1.96472319657914e-05,0.0008263896452263,42.0613784790039,1.4483308984375e-05,112672268,1049,39393554432.0,601769728.0,497296.28125,11823.109375,0.7371679168
4,2,633331836,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,112672268,549009203,1447232768.0,27975600.0,0.0,0.0,0.03427011
5,3,633336978,False,0.0999020040035248,2220,3530,4720,0.000353787908158134,4.88583973365913e-05,0.00137387184542792,28.1194619619459,3.512260548172e-05,112672268,151,18092735680.0,586828800.0,806227.56640625,28671.5146789551,0.71886528
6,3,633335887,False,0.391411811113358,4790,6460,6120,0.00285412896008643,0.000462627264818718,0.077884669940972,168.352961150034,0.000283346160644531,112672268,523,38592776192.0,499976992.0,38940543.0,231302.98828125,0.6124718152
7,3,633336239,False,0.168971911072731,4990,3220,10080,0.00247705528546615,0.000285736439196686,0.0233861627859204,81.8452237021915,0.000245911840234375,112672268,878,75389925376.0,702550784.0,16429967.0,200744.359375,0.8606247104
8,3,633336112,False,0.028700415045023,10510,2930,4890,1.51524484444478e-05,2.90686009269885e-07,2.2788517372031e-05,78.3956456290031,1.5042726348877e-06,112672268,795,217649571456.0,4224412672.0,96268.1015625,1227.97766113281,5.1749055232
9,2,633330944,False,0.574475407600403,5700,3480,6100,0.0171486730606583,0.00303225332849399,0.695706068659327,229.435338440162,0.00170244958789062,112672268,618,4657592960.0,458324096.0,318858855.0,1389754.765625,0.5614470176
10,2,633330974,False,0.138790339231491,2770,2910,8580,0.000798964164421852,6.20089995209128e-05,0.00418108841404319,67.427116394043,7.931786953125e-05,112672268,656,82901270528.0,1044191680.0,4365857.5,64749.28125,1.279134808
11,3,633336560,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,112672268,954,23297501184.0,267962400.0,0.0,0.0,0.32825394
12,3,633336000,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,112672268,685,30859303936.0,835857024.0,0.0,0.0,1.0239248544
13,3,633336458,False,0.139794155955315,5300,5010,5920,0.000124489720652625,1.4747356505382e-05,0.000596308578101969,40.43494696045,1.23588264160156e-05,112672268,900,2652098176.0,684111616.0,407941.625,10088.837890625,0.8380367296
14,2,633330753,False,0.407614469528198,7680,6160,8840,0.00287964765555683,0.000349182977049915,0.111396016143962,319.019034332931,0.0002858795515625,112672268,319,53637519360.0,668334592.0,74449811.0,233371.0625,0.8187098752
15,1,633333318,False,3.49879774148576e-05,3300,4250,5520,8.50336580140496e-10,1.08643172236356e-09,1.14650120508486e-07,105.529067993164,8.44179112464189e-11,112672268,556,4207584512.0,63430200.0,7.27228021621704,0.0689125806093216,0.077701995
16,3,633336035,False,0.143383666872978,8130,6280,5810,0.000170063328076234,0.000198985780586365,0.0270193819419178,135.785491115486,1.68831863418579e-05,112672268,732,2870691200.0,69262200.0,1871421.8359375,13782.1929321289,0.084846195
17,3,633336172,False,0.0392657443881035,10790,1140,6830,4.16705515837697e-05,1.8806592827583e-06,0.000137839095447572,73.2929652442986,4.13688062744141e-06,112672268,828,118532882432.0,1795671040.0,247513.671875,3377.04541015625,2.199697024
18,2,633331283,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,112672268,917,372376000.0,4190400.0,0.0,0.0,0.00513324
19,3,633335472,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,112672268,249,6829348096.0,71445600.0,0.0,0.0,0.08752086
20,2,633331397,False,0.00857644807547331,11940,5450,6110,6.35833512606774e-07,4.78499316614034e-07,1.46739776027971e-05,30.6666622161865,6.31229307174682e-08,112672268,970,3238647296.0,107688600.0,1580.22009277344,51.528923034668,0.131918535
21,1,633332603,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,112672268,939,52358388.0,9543600.0,0.0,0.0,0.01169091
22,1,633334053,False,0.281432002782822,8190,6210,5330,0.00275486865904395,0.00233299774117768,0.349191725254059,149.675109863281,0.00027349200703125,112672268,606826647,3217082112.0,95696096.0,33416284.0,223258.78125,0.1172277176
