,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,1,634007777,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147633885,393,646264192.0,3960900.0,0.0,0.0,0.0048521025
1,3,634008306,False,0.523594915866852,5190,6900,7610,0.0168196323004756,0.00311836549550158,1.55302780226365,498.026227042333,0.01040720524375,147633885,342,519361167360.0,2724400896.0,4231070336.0,8495677.75,3.3373910976
2,3,634008596,False,0.11661122739315,7230,6770,8620,3.91483715463852e-05,2.2728976519932e-05,0.0119545974471228,525.962857880527,2.42231893280029e-05,147633885,780,182592389120.0,869992192.0,10400406.4375,19774.0321044922,1.0657404352
3,3,634008715,False,0.58345091342926,11060,3000,7600,0.0111676242893341,0.000931874492109819,0.651114797372468,698.715119777885,0.006910005878125,147633885,928,1915043774464.0,6053198336.0,3941327008.0,5640821.125,7.4151679616
4,1,634007331,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147633885,1046,12397445120.0,62379000.0,0.0,0.0,0.076414275
5,3,634008851,False,0.613036811351776,7900,4590,6180,0.00179555767885217,0.00207301304309284,0.553881433774403,267.186661280258,0.00111100747965088,147633885,1083,36875633024.0,437500808.0,242323574.8125,906944.881347656,0.5359384898
6,1,634007680,False,0.461081326007843,7240,3460,5640,0.00317963240197603,0.00300912860143229,1.38689772310315,460.896793325155,0.00196740846743164,147633885,571,122983730176.0,533725188.0,740222248.0,1606047.72851562,0.6538133553
7,1,634007991,False,0.30314165353775,11620,4900,3240,0.000102152384145539,0.000187295372597873,0.0577497109770775,308.3349609375,6.32071384765625e-05,147633885,96,42637254656.0,275488192.0,15909363.0,51597.6640625,0.3374730352
8,1,634007928,False,0.128205105662346,1860,2890,5430,2.05165229345849e-05,2.36466224018196e-05,0.00172009449868361,72.7416571151088,1.26946690185547e-05,147633885,184,84730075920.0,438244200.0,753821.4375,10362.9951171875,0.536849145
9,2,634006927,False,0.775713622570038,10340,5600,6040,0.0366686738717087,0.0806235030151047,33.0913935493502,410.4435097933,0.022688867876631,147633885,877,33221574896.8857,229728604.0,7602039644.50684,18521524.7972498,0.2814175399
10,3,634008230,False,0.360293656587601,4160,5420,6030,0.00034877404889529,6.41197267156761e-05,0.0277015204030459,432.028048495618,0.000215805140427734,147633885,242,541756325888.0,2747476800.0,76109284.6320953,176167.46157366,3.36565908
11,2,634006667,False,0.505767703056335,7850,5710,6020,0.00122750641735413,0.00540911685675383,2.46115183830261,455.000701904297,0.0007595238109375,147633885,525,17094838272.0,114624896.0,282109280.0,620019.4375,0.1404154976
12,3,634008152,False,0.577198147773743,12280,6680,6980,0.00108092100865504,0.027725900746496,10.3628117001828,373.759243926185,0.0006688235859375,147633885,143,2544028032.0,19692000.0,204064488.0,545978.4375,0.0241227
13,2,634006343,False,0.599928498268127,9370,4080,5830,0.00448166707703409,0.0337393581867218,4.86487007141113,144.189758300781,0.00277304689375,147633885,62,2151158784.0,67094100.0,326404064.0,2263711.75,0.0821902725
14,2,634007002,False,0.347422122955322,4290,5960,9010,0.00181031809194316,0.000175675086211413,0.0588983073830605,335.268432617188,0.0011201405359375,147633885,961,1041880252416.0,5205066240.0,306569600.0,914400.4375,6.376206144
15,2,634006430,False,0.500720262527466,12430,5850,5980,0.00276825968210216,0.103602543473244,66.4065628051758,640.974243164062,0.001712870184375,147633885,177,3811931648.0,13496400.0,896249536.0,1398261.375,0.01653309
16,3,634008743,False,0.407500147819519,7110,3450,6300,0.00196257181640632,0.00165694781913903,0.582831817653387,351.750254848843,0.00121434805078125,147633885,958,71502725120.0,598271424.0,348691621.5,991304.53125,0.7328824944
17,3,634008769,False,0.0390620492398739,7220,2100,5660,5.8250683959363e-06,5.30024186423093e-05,0.00345809675723267,65.2441312267255,3.60428107299805e-06,147633885,982,8691871488.0,55512000.0,191965.8671875,2942.27026367188,0.0680022
18,1,634007561,False,0.228837832808495,7740,2630,730,5.1247722055152e-05,0.000153400294948369,0.0229304078966379,149.480865478516,3.17097040039062e-05,147633885,735,23151046656.0,168744608.0,3869382.75,25885.47265625,0.2067121448
19,3,634008922,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147633885,10704,134416691200.0,617394624.0,0.0,0.0,0.7563084144
20,3,634008522,False,0.0654297322034836,2020,2780,6160,3.6430678645949e-06,8.78985353320196e-06,0.00306187729045337,348.34224243757,2.25416075134277e-06,147633885,667,37308098560.0,209347200.0,640995.4375,1840.13122558594,0.25645032
21,2,634006385,False,0.561031401157379,9470,6240,6950,0.00101586242401163,0.00311602652072906,0.572545528411865,183.7421875,0.00062856836328125,147633885,122,7266253824.0,164670304.0,94281248.0,513117.03125,0.2017211224
22,2,634006732,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147633885,613,33067546624.0,141534896.0,0.0,0.0,0.1733802476
23,2,634007235,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147633885,312782574,43854401024.0,221438700.0,0.0,0.0,0.2712624075
24,1,634007613,False,0.710101366043091,10030,6180,4410,0.0134557816662223,0.018085265532136,3.72580194473267,206.013107299805,0.0083258111125,147633885,658,20133083136.0,375807616.0,1400184704.0,6796580.5,0.4603643296
25,3,634008103,False,0.537188768386841,11080,4100,6320,0.00810857082669288,0.000763628461182483,0.290158411006108,379.973279881156,0.00501720604346924,147633885,73,277873899598.0,5363443888.0,1556248356.0625,4095678.40283203,6.5702187628
26,1,634006490,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147633885,312782594,7683694592.0,35704800.0,0.0,0.0,0.04373838
27,2,634006664,False,0.394083142280579,11250,4190,6740,0.000968786639030232,0.000610210559609931,0.184476291483313,302.315796700138,0.000599440059667969,147633885,519,107356658176.0,801917988.0,147934856.5,489338.82421875,0.9823495353
28,2,634006464,False,0.356984883546829,6400,7070,5870,0.000669183656098375,0.00263613113202155,0.650233268737793,246.66194152832,0.00041405968515625,147633885,223,7999100416.0,128221200.0,83373688.0,338007.90625,0.15707097
29,3,634008487,False,0.151083290576935,2760,2950,6440,3.10548401590125e-05,3.69928985184844e-05,0.0196278773331023,530.585007370935,1.92152889892578e-05,147633885,620,106509312000.0,424025984.0,8322730.0,15685.9501953125,0.5194318304
30,1,634007176,False,0.295671910047531,8170,6060,4120,0.000980411244496785,0.000255528022535145,0.0522325113415718,204.410110473633,0.00060663282421875,147633885,10703,505432899584.0,1937988864.0,101226024.0,495210.46875,2.3740363584
31,3,634008875,False,0.153161659836769,5120,5790,6410,2.21333380224684e-05,0.00012849736503339,0.0688966932174753,536.172031228599,1.369507890625e-05,147633885,1109,24156792832.0,87003000.0,5994219.0,11179.65625,0.106578675
32,3,634008641,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147633885,838,144885751808.0,576842368.0,0.0,0.0,0.7066319008
33,3,634008850,False,0.175413399934769,3570,3690,6560,2.1599364282246e-05,0.00111951971506195,0.351960750548988,314.385486752695,1.33646808208466e-05,147633885,1081,1559165376.0,9745200.0,3429927.90625,10909.9435272217,0.01193787
34,2,634006341,False,0.293429613113403,8560,4740,7020,0.000204730639033632,0.00530008226633072,2.46271729469299,464.656433105469,0.0001266777859375,147633885,58,3192641024.0,19511100.0,48050324.0,103410.4375,0.0239010975
35,1,634007470,False,0.701297223567963,9690,5240,5250,0.0390222147493032,0.0857979044710282,36.8893520009716,429.956328518818,0.0241451293765919,147633885,877,33010327862.6992,229729500.0,8474572390.5072,19710309.6951771,0.2814186375
36,1,634007733,False,0.498055577278137,7110,5430,5220,0.0144023711922661,0.00420194927163892,2.15939115616995,513.902243119585,0.00891151663228378,147633885,467,302913957888.0,1731269700.0,3738488479.125,7274707.45492554,2.1208053825
37,1,634007943,False,0.119757369160652,3680,5300,5220,1.9993143815888e-05,4.6074451347522e-06,0.00189088191837072,410.397064208984,1.23708263916016e-05,147633885,159,404877312000.0,2191807744.0,4144449.75,10098.6337890625,2.6849644864
38,2,634006711,False,0.084449902176857,5780,1900,5700,5.61521571154439e-05,0.000131792156025767,0.0224799457937479,170.571182250977,3.47443400390625e-05,147633885,588,48062824448.0,215208000.0,4837864.0,28362.7265625,0.2636298
39,1,634007193,False,0.0594794638454914,8330,5520,5440,9.86974277044073e-06,0.000346978951711208,0.0704849064350128,203.138854980469,6.10693723144531e-06,147633885,607344850,3260411392.0,14367600.0,1012698.9375,4985.2548828125,0.01760031
40,1,634008022,False,0.108857326209545,5430,1560,5160,3.5700327442601e-05,1.27971073188492e-05,0.00350840026168143,274.155727092624,2.20897001983643e-05,147633885,39,325103874688.0,1409100344.0,4943688.015625,18032.4083251953,1.7261479214
41,2,634006850,False,0.11661122739315,7230,6770,8620,3.56098215479151e-05,4.13490924984217e-05,0.022675272077322,548.38623046875,2.20336993652344e-05,147633885,780,96104980480.0,434996096.0,9863655.0,17986.693359375,0.5328702176
42,2,634007891,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,147633885,312782616,29932195840.0,109932304.0,0.0,0.0,0.1346670724
43,2,634006457,False,0.721701443195343,8620,4060,6280,0.0478347105258037,0.0681577026844025,27.1830978393555,398.826507568359,0.0295978914,147633885,214,54860128256.0,354494688.0,9636263936.0,24161544.0,0.4342559928
44,2,634006554,False,0.0103631988167763,5960,3310,5880,8.17618405045908e-08,4.43010230810614e-06,0.0011718551395461,264.52099609375,5.05904195785522e-08,147633885,338,513867168.0,9322200.0,10924.267578125,41.2983016967773,0.011419695
